date,ticker,close
2021-06-03,XLP,62.83
2021-06-03,XLI,97.57
2021-06-03,XLE,23.17
2021-06-03,XLU,28.33
2021-06-03,XLRE,38.0
2021-06-03,XLB,39.88
2021-06-03,XLC,74.45
2021-06-03,SPY,391.12
2021-06-04,XLK,67.47
2021-06-04,XLF,35.44
2021-06-04,XLV,113.11
2021-06-04,XLY,82.27
2021-06-04,XLP,63.05
2021-06-04,XLI,97.88
2021-06-04,XLE,23.32
2021-06-04,XLU,28.29
2021-06-04,XLRE,38.04
2021-06-04,XLB,39.96
2021-06-04,XLC,75.52
2021-06-04,SPY,394.7
2021-06-07,XLK,67.46
2021-06-07,XLF,35.21
2021-06-07,XLV,113.52
2021-06-07,XLY,82.27
2021-06-07,XLP,62.95
2021-06-07,XLI,97.2
2021-06-07,XLE,23.22
2021-06-07,XLU,28.34
2021-06-07,XLRE,38.4
2021-06-07,XLB,39.48
2021-06-07,XLC,75.91
2021-06-07,SPY,394.32
2021-06-08,XLK,67.46
2021-06-08,XLF,35.12
2021-06-08,XLV,113.16
2021-06-08,XLY,82.94
2021-06-08,XLP,62.42
2021-06-08,XLI,97.46
2021-06-08,XLE,23.42
2021-06-08,XLU,28.1
2021-06-08,XLRE,38.6
2021-06-08,XLB,39.55
2021-06-08,XLC,75.69
2021-06-08,SPY,394.4
2021-06-09,XLK,67.51
2021-06-09,XLF,34.79
2021-06-09,XLV,114.26
2021-06-09,XLY,82.48
2021-06-09,XLP,62.12
2021-06-09,XLI,96.46
2021-06-09,XLE,23.27
2021-06-09,XLU,28.35
2021-06-09,XLRE,38.64
2021-06-09,XLB,39.24
2021-06-09,XLC,75.62
2021-06-09,SPY,393.81
2021-06-10,XLK,68.01
2021-06-10,XLF,34.38
2021-06-10,XLV,116.21
2021-06-10,XLY,82.87
2021-06-10,XLP,62.51
2021-06-10,XLI,95.99
2021-06-10,XLE,23.24
2021-06-10,XLU,28.53
2021-06-10,XLRE,39.04
2021-06-10,XLB,39.0
2021-06-10,XLC,76.03
2021-06-10,SPY,395.64
2021-06-11,XLK,68.41
2021-06-11,XLF,34.6
2021-06-11,XLV,115.39
2021-06-11,XLY,83.32
2021-06-11,XLP,62.54
2021-06-11,XLI,96.18
2021-06-11,XLE,23.17
2021-06-11,XLU,28.6
2021-06-11,XLRE,38.79
2021-06-11,XLB,39.15
2021-06-11,XLC,76.11
2021-06-11,SPY,396.3
2021-06-14,XLK,69.11
2021-06-14,XLF,34.24
2021-06-14,XLV,115.49
2021-06-14,XLY,83.34
2021-06-14,XLP,62.51
2021-06-14,XLI,95.75
2021-06-14,XLE,23.06
2021-06-14,XLU,28.66
2021-06-14,XLRE,39.01
2021-06-14,XLB,38.67
2021-06-14,XLC,76.62
2021-06-14,SPY,397.19
2021-06-15,XLK,68.68
2021-06-15,XLF,34.31
2021-06-15,XLV,115.53
2021-06-15,XLY,82.9
2021-06-15,XLP,62.36
2021-06-15,XLI,96.15
2021-06-15,XLE,23.5
2021-06-15,XLU,28.74
2021-06-15,XLRE,38.65
2021-06-15,XLB,38.59
2021-06-15,XLC,76.18
2021-06-15,SPY,396.46
2021-06-16,XLK,68.31
2021-06-16,XLF,34.27
2021-06-16,XLV,115.08
2021-06-16,XLY,82.94
2021-06-16,XLP,61.53
2021-06-16,XLI,95.24
2021-06-16,XLE,23.38
2021-06-16,XLU,28.31
2021-06-16,XLRE,38.3
2021-06-16,XLB,38.16
2021-06-16,XLC,75.51
2021-06-16,SPY,394.24
2021-06-17,XLK,69.1
2021-06-17,XLF,33.26
2021-06-17,XLV,115.96
2021-06-17,XLY,83.25
2021-06-17,XLP,61.75
2021-06-17,XLI,93.78
2021-06-17,XLE,22.58
2021-06-17,XLU,28.47
2021-06-17,XLRE,38.45
2021-06-17,XLB,37.31
2021-06-17,XLC,75.83
2021-06-17,SPY,394.11
2021-06-18,XLK,68.47
2021-06-18,XLF,32.46
2021-06-18,XLV,114.64
2021-06-18,XLY,82.82
2021-06-18,XLP,60.66
2021-06-18,XLI,92.56
2021-06-18,XLE,21.91
2021-06-18,XLU,27.73
2021-06-18,XLRE,37.84
2021-06-18,XLB,36.7
2021-06-18,XLC,74.94
2021-06-18,SPY,388.8
2021-06-21,XLK,69.2
2021-06-21,XLF,33.21
2021-06-21,XLV,116.01
2021-06-21,XLY,83.45
2021-06-21,XLP,61.35
2021-06-21,XLI,94.59
2021-06-21,XLE,22.85
2021-06-21,XLU,28.09
2021-06-21,XLRE,38.59
2021-06-21,XLB,37.47
2021-06-21,XLC,75.67
2021-06-21,SPY,394.36
2021-06-22,XLK,69.83
2021-06-22,XLF,33.27
2021-06-22,XLV,116.26
2021-06-22,XLY,84.24
2021-06-22,XLP,61.44
2021-06-22,XLI,94.7
2021-06-22,XLE,23.0
2021-06-22,XLU,27.92
2021-06-22,XLRE,38.42
2021-06-22,XLB,37.62
2021-06-22,XLC,76.32
2021-06-22,SPY,396.47
2021-06-23,XLK,69.75
2021-06-23,XLF,33.33
2021-06-23,XLV,115.78
2021-06-23,XLY,84.89
2021-06-23,XLP,61.06
2021-06-23,XLI,94.48
2021-06-23,XLE,23.06
2021-06-23,XLU,27.62
2021-06-23,XLRE,38.3
2021-06-23,XLB,37.37
2021-06-23,XLC,76.24
2021-06-23,SPY,395.99
2021-06-24,XLK,70.19
2021-06-24,XLF,33.75
2021-06-24,XLV,116.38
2021-06-24,XLY,85.18
2021-06-24,XLP,61.36
2021-06-24,XLI,95.22
2021-06-24,XLE,23.26
2021-06-24,XLU,27.59
2021-06-24,XLRE,38.12
2021-06-24,XLB,37.49
2021-06-24,XLC,76.96
2021-06-24,SPY,398.34
2021-06-25,XLK,70.11
2021-06-25,XLF,34.16
2021-06-25,XLV,116.91
2021-06-25,XLY,85.72
2021-06-25,XLP,61.83
2021-06-25,XLI,95.41
2021-06-25,XLE,23.39
2021-06-25,XLU,27.89
2021-06-25,XLRE,38.4
2021-06-25,XLB,37.5
2021-06-25,XLC,77.05
2021-06-25,SPY,399.75
2021-06-28,XLK,70.84
2021-06-28,XLF,33.91
2021-06-28,XLV,117.08
2021-06-28,XLY,85.74
2021-06-28,XLP,61.88
2021-06-28,XLI,94.9
2021-06-28,XLE,22.59
2021-06-28,XLU,28.07
2021-06-28,XLRE,38.41
2021-06-28,XLB,37.5
2021-06-28,XLC,77.92
2021-06-28,SPY,400.56
2021-06-29,XLK,71.36
2021-06-29,XLF,33.79
2021-06-29,XLV,117.21
2021-06-29,XLY,85.95
2021-06-29,XLP,61.61
2021-06-29,XLI,94.72
2021-06-29,XLE,22.49
2021-06-29,XLU,27.62
2021-06-29,XLRE,38.39
2021-06-29,XLB,37.48
2021-06-29,XLC,77.5
2021-06-29,SPY,400.77
2021-06-30,XLK,71.28
2021-06-30,XLF,33.94
2021-06-30,XLV,117.14
2021-06-30,XLY,86.02
2021-06-30,XLP,62.09
2021-06-30,XLI,95.45
2021-06-30,XLE,22.76
2021-06-30,XLU,27.56
2021-06-30,XLRE,38.09
2021-06-30,XLB,37.58
2021-06-30,XLC,77.36
2021-06-30,SPY,401.11
2021-07-01,XLK,71.4
2021-07-01,XLF,34.2
2021-07-01,XLV,118.18
2021-07-01,XLY,86.5
2021-07-01,XLP,61.9
2021-07-01,XLI,96.13
2021-07-01,XLE,23.16
2021-07-01,XLU,27.86
2021-07-01,XLRE,38.24
2021-07-01,XLB,37.78
2021-07-01,XLC,77.93
2021-07-01,SPY,403.33
2021-07-02,XLK,72.35
2021-07-02,XLF,34.17
2021-07-02,XLV,119.32
2021-07-02,XLY,87.26
2021-07-02,XLP,62.05
2021-07-02,XLI,96.28
2021-07-02,XLE,23.11
2021-07-02,XLU,27.91
2021-07-02,XLRE,38.42
2021-07-02,XLB,37.84
2021-07-02,XLC,78.47
2021-07-02,SPY,406.41
2021-07-06,XLK,72.62
2021-07-06,XLF,33.63
2021-07-06,XLV,119.2
2021-07-06,XLY,87.37
2021-07-06,XLP,61.79
2021-07-06,XLI,95.36
2021-07-06,XLE,22.36
2021-07-06,XLU,28.03
2021-07-06,XLRE,38.76
2021-07-06,XLB,37.28
2021-07-06,XLC,78.28
2021-07-06,SPY,405.67
2021-07-07,XLK,73.02
2021-07-07,XLF,33.68
2021-07-07,XLV,119.96
2021-07-07,XLY,87.32
2021-07-07,XLP,62.12
2021-07-07,XLI,96.31
2021-07-07,XLE,21.99
2021-07-07,XLU,28.21
2021-07-07,XLRE,38.96
2021-07-07,XLB,37.67
2021-07-07,XLC,78.17
2021-07-07,SPY,407.11
2021-07-08,XLK,72.33
2021-07-08,XLF,33.0
2021-07-08,XLV,119.3
2021-07-08,XLY,87.1
2021-07-08,XLP,61.89
2021-07-08,XLI,94.97
2021-07-08,XLE,21.87
2021-07-08,XLU,28.13
2021-07-08,XLRE,38.93
2021-07-08,XLB,37.15
2021-07-08,XLC,77.31
2021-07-08,SPY,403.79
2021-07-09,XLK,72.99
2021-07-09,XLF,33.95
